Row.names	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	AME	AOH	ms_level	05_EB3388_AOH_p_0.mzXML	06_EB3389_AOH_p_10.mzXML	07_EB3390_AOH_p_20.mzXML	08_EB3391_AOH_p_60.mzXML	16_EB3392_AME_p_0.mzXML	17_EB3393_AME_p_10.mzXML	18_EB3394_AME_p_20.mzXML	19_EB3395_AME_p_60.mzXML	row ID	annotation network number	best ion	identified by n=	partners	neutral M mass	correlation group ID	auto MS2 verify
FT001	105.033495553855	105.033340768361	105.03361692231	537.906	537.894	537.921	8	4	4	1	1158219.09406249	1086868.8058131	1009588.77553908	954940.629403009	992550.809845508	817057.085225392	815657.837252135	798990.588739585	1	NA	NA	NA	NA	NA	41	NA
FT002	107.049229175149	107.049218036779	107.049235520816	535.7095	535.7	535.727	4	0	4	1	320676.598158985	342069.354548604	266743.81224903	228330.776523436	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	41	NA
FT003	119.08551783366	119.085497863199	119.08554350053	549.323	549.309	549.742	3	0	3	1	486045.510296879	321563.01131815	231082.334969727	418486.892138137	2623.22906933595	3686.96836035158	NA	NA	3	NA	NA	NA	NA	NA	41	NA
FT004	119.085391825768	119.085344528812	119.085439122725	675.025	674.807	675.243	2	0	2	1	394886.442084378	409470.121733936	24014.4959181582	30664.9342431557	14509.8029540342	1605.9021314108	3591.45135078799	5870.4281577822	4	NA	NA	NA	NA	NA	19	NA
FT005	121.06459293319	121.064587378798	121.064699510367	674.807	674.804	674.83	3	0	3	1	2502697.2690767	2813393.0961179	310227.733098216	38108.7678987304	11196.81218125	9249.07042617186	3852.20949101562	1118.31264970703	5	40	[M+H-C4H8]+	3	39;30	176.119776390007	19	NA
FT006	134.080725573305	134.080624292975	134.080858632386	707.955	707.28	711.672	6	1	4	1	10817756.0455587	7174094.69302773	9470634.5244091	8728424.22632821	12879339.8603333	16272909.8015859	17157049.4197741	12185988.4879687	6	50	[M+2H-CO2]2+	2	308	310.153030134327	21	NA
FT007	137.095868003177	137.095798774065	137.095937232288	674.8055	674.804	674.807	2	0	2	1	446197.386593758	517971.210601123	72037.8135438057	43621.6891863402	21974.882881522	6539.21156670269	3550.54025946916	NA	7	39	[M+Na]+	3	78;78	114.113894265674	19	NA
FT008	139.111661895243	139.111598245495	139.111725544991	596.6965	596.695	596.698	2	0	2	1	580937.439824989	439695.097150003	95462.0732402348	59371.751574219	4413.77126318361	NA	NA	NA	8	NA	NA	NA	NA	NA	14	NA
FT009	139.111689162198	139.111643244274	139.111735080123	568.1735	568.172	568.175	2	0	2	1	486722.888430463	402491.629917967	41129.8280291623	157671.915417666	2982.03600795563	NA	NA	NA	9	NA	NA	NA	NA	NA	41	NA
FT010	144.062784137002	144.062678802034	144.062972270526	724.382	723.943	725.267	3	1	2	1	6588326.74175925	16440703.0703738	4109827.98452173	5674991.89539065	5026247.26772657	4901830.89374578	4876587.51785419	6925801.91466105	10	NA	NA	NA	NA	NA	41	NA
FT011	144.062792038371	144.062744558672	144.06283951807	612.942	612.497	613.387	2	2	0	1	NA	3736396.86486564	2370929.55490973	2671954.64031967	56401666.9756412	32099610.3669612	35030274.4766869	2249582.37301138	11	NA	NA	NA	NA	NA	41	NA
FT012	146.080867372934	146.080861631303	146.081120902652	556.332	555.888	557.226	3	2	1	1	2493576.39662504	NA	NA	NA	30059866.0091431	38229577.9784141	30136594.3089793	25243854.6290164	12	NA	NA	NA	NA	NA	41	NA
FT013	146.081057087431	146.080958035677	146.081115291767	669.103	665.608	670.416	3	0	3	1	56770806.0359481	3034423.56531249	77018383.3657186	615176191.974413	60156462.6430496	17294304.6883918	9889363.06181076	NA	13	101	[M+2H-COCH2]2+	3	389;328	332.151248377662	40	NA
FT014	146.080934949574	146.080927456952	146.080942442196	319.814	319.38	320.248	2	2	0	1	NA	NA	NA	NA	310731.276242423	8265709.25391541	6486100.86334997	3026564.24922222	14	NA	NA	NA	NA	NA	47	NA
FT015	146.081144962874	146.081109209337	146.08118071641	593.186	592.31	594.062	2	0	2	1	7060031.76855208	9792228.988875	18646887.3337645	13299742.3255313	NA	NA	NA	NA	15	27	[M+H+K]2+	3	121;176	252.175854344152	14	NA
FT016	146.080737481447	146.080729487008	146.080853312884	646.737	642.778	648.919	3	3	0	1	NA	393996.358089041	1781590.39991096	1370733.95445719	649476371.067654	125899367.248325	13932511.7472632	138148681.346122	16	NA	NA	NA	NA	NA	41	NA
FT017	146.973481527305	146.973301587297	146.973648026172	691.9235	691.495	691.938	6	3	3	1	1984963.73764585	2214172.77172264	3664491.04448435	3676099.02011137	2671787.199375	6676310.47728512	1857659.32227778	2571480.89599443	17	NA	NA	NA	NA	NA	35	NA
FT018	146.973587385137	146.973429202225	146.973778164275	654.638	654.183	655.074	4	2	2	1	NA	4813377.17363751	41428877.0269818	4677711.34285627	14646421.1398075	7348549.11735524	4827082.77267047	4573550.83716667	18	96	[M+K]+	2	19	108.010514188934	40	NA
FT019	146.973756992731	146.97372131106	146.973831955662	666.475	664.289	666.909	3	0	3	1	5777257.69380004	3617828.64877682	9501178.29700004	49490623.7121225	NA	NA	NA	NA	19	96	[M+K]+	2	18	108.010514188934	40	NA
FT020	146.973752707935	146.973476161426	146.973852000526	628.9575	625.66	631.389	4	1	3	1	5538147.74959716	4295808.17740909	10491095.649625	5188598.12877408	NA	NA	NA	3508481.21304327	20	NA	NA	NA	NA	NA	41	NA
FT021	149.023090908871	149.022938869847	149.023323321194	602.8505	602.838	602.865	8	4	4	1	2284811.72449431	2443940.36474148	2130766.75769318	2254354.22824863	2310624.06882954	1945651.80533238	1951953.1310348	2012035.66738636	21	NA	NA	NA	NA	NA	41	NA
FT022	149.023060053878	149.022866473495	149.023260199152	597.579	597.15	597.602	8	4	4	1	1964088.72583462	2291807.21147659	1926574.06439389	2248188.29409703	2199553.38847462	1888117.01167365	1868716.19995191	1969453.64923379	22	NA	NA	NA	NA	NA	41	NA
FT023	149.023196816581	149.022985184714	149.023329901282	466.384	466.367	466.808	8	4	4	1	1754799.81154687	2048732.84575142	1754265.44070597	1816284.35158203	1858345.59017969	1251099.69236133	1148754.00776855	1171904.62559212	23	13	[M+H-C2H4]+	2	38	176.047183278178	9	NA
FT024	149.022655198937	149.022476575902	149.022843021507	712.5615	712.543	712.999	8	4	4	1	1077837.52797754	1077709.89319103	1025731.24360839	909100.526080458	883592.046898868	861808.871559019	808932.314203127	851592.627720492	24	NA	NA	NA	NA	NA	27	NA
FT025	157.122233058631	157.122040410083	157.122294602593	568.182	568.172	568.616	4	1	3	1	2007649.30385579	1660000.79190624	96515.8921382177	292348.751632816	227676.163710937	1243.84164979291	1845.85825941205	NA	25	NA	NA	NA	NA	NA	41	NA
FT026	157.122154100324	157.122131143254	157.122279361008	596.698	596.695	596.712	3	0	3	1	1504527.49875626	1140874.0102086	111918.141766618	283256.535554685	NA	1540.03243652344	NA	NA	26	NA	NA	NA	NA	NA	14	NA
FT027	158.153848185507	158.153547806521	158.15398749605	473.8435	473.827	474.268	6	2	4	1	364399.40271094	398326.885717328	334190.718339845	293884.517469617	308449.138374998	6501.57235664064	59960.6520793037	273111.032627131	27	NA	NA	NA	NA	NA	5	NA
FT028	161.095809535399	161.095633574669	161.096027872194	576.083	576.07	576.098	8	4	4	1	547380.664482247	585620.813943184	435468.837529688	583530.407642045	493216.850389207	387567.35914701	321407.443189254	459608.140367579	28	NA	NA	NA	NA	NA	41	NA
FT029	161.096023247297	161.095681770038	161.096079692414	530.89	530.434	531.329	7	3	4	1	1120156.76200675	713311.702544921	578308.865424287	727771.421854578	450037.231008464	947633.326404619	NA	654925.604569988	29	NA	NA	NA	NA	NA	41	NA
FT030	161.095805121084	161.095728496581	161.095881745587	675.025	674.807	675.243	2	0	2	1	281778.981503905	336414.754671871	17702.7455859828	17621.3691391105	5987.04264949095	2462.78818368418	5271.06156062376	1155.2018471951	30	40	[M+H-CH4]+	3	39;5	176.119776390007	19	NA
FT031	163.038850340182	163.038559349705	163.038978485879	602.8605	602.846	603.277	4	1	3	1	336215.133445899	317365.572690619	263096.01074707	99371.7868163364	NA	NA	NA	275195.710844533	31	NA	NA	NA	NA	NA	41	NA
FT032	165.054568061923	165.054198849108	165.054605730503	530.898	530.434	531.329	7	3	4	1	877015.263515623	521545.422403411	422280.491080263	568099.75865756	309566.296925002	689311.333854164	NA	451523.257967179	32	NA	NA	NA	NA	NA	41	NA
FT033	172.169377692499	172.169056257574	172.169551376066	540.541	540.53	540.556	8	4	4	1	6533880.43458798	4850058.99389209	4234417.59740481	7935522.10721602	5200439.91864339	3582347.543424	2926813.43930118	9897098.02547741	33	61	[M+H]+	2	47	171.162251540263	24	NA
FT034	173.172757215171	173.172419319508	173.172948312881	540.5465	540.53	540.972	8	4	4	1	667090.460209508	501789.450452775	422430.929381253	870074.846488649	548476.886680079	347945.584368055	259286.816835447	1067150.1211084	34	NA	NA	NA	NA	NA	24	NA
FT035	174.184987259948	174.184932657959	174.185053681982	307.9735	307.093	308.399	4	4	0	1	1261.12323752011	NA	NA	NA	1416072.36148197	4774143.22236121	802137.222590624	5835121.36573438	35	140	[M+H-CH2]+	2	46	187.193646751996	42	NA
FT036	174.185368737903	174.185312877024	174.185455322266	312.801	311.921	314.54	4	0	4	1	3764744.85991429	2209460.96582487	1740644.3347998	3824270.58696693	1299.18770582199	NA	NA	NA	36	NA	NA	NA	NA	NA	46	NA
FT037	175.188689501175	175.188359930617	175.188791467963	311.921	307.541	313.659	3	1	2	1	343729.267053387	227942.280882354	213877.110882354	368508.433453909	1374.84452205883	415829.503469105	NA	NA	37	NA	NA	NA	NA	NA	46	NA
FT038	177.054446765376	177.054194384809	177.054651246925	466.379	466.367	466.832	8	4	4	1	702342.04679723	843753.413692116	735977.589815289	705972.773639912	743671.621601565	467783.14604883	427599.263618608	425997.150635744	38	13	[M+H]+	2	23	176.047183278178	9	NA
FT039	177.126987965253	177.126796555483	177.127159788734	674.811	674.804	674.83	7	3	4	1	8628922.85279829	9572319.3173717	1267572.84024529	283577.908281249	669370.74769966	555411.891601569	384932.182864743	7393.68106940567	39	40	[M+H]+	3	30;5	176.119776390007	19	NA
FT040	178.130417291298	178.130340076442	178.130494506154	674.8055	674.804	674.807	2	0	2	1	1118901.5278672	1247809.58820626	50894.3572128904	15600.9935312499	14708.6237226562	NA	3640.7428251953	NA	40	NA	NA	NA	NA	NA	19	NA
FT041	180.13816886044	180.137967676966	180.13831523815	584.852	584.414	584.873	5	1	4	1	290991.11645469	338620.6516875	294143.349194441	252259.502759112	236861.192724616	NA	NA	NA	41	121	[M+H+K]2+	7	452;518;546;626;523;293	320.297898707914	41	NA
FT042	180.17461982963	180.174569824701	180.174669834558	490.0875	490.082	490.093	2	0	2	1	5999.88994122541	138160.95969817	235940.498811034	246385.868487302	8020.08580674915	2075.69823097512	NA	NA	42	NA	NA	NA	NA	NA	44	NA
FT043	181.122226892418	181.122183992307	181.12226979253	551.5015	551.5	551.503	2	0	2	1	251803.487277344	263064.221695745	191442.117927952	231615.452024849	2841.9228754883	3372.2510950521	NA	NA	43	120	[M+2Na]2+	8	425;495;496;498;576;268;143	316.275172810063	41	NA
FT044	186.185124201598	186.184727843327	186.185142907289	575.21	575.193	575.21	3	1	2	1	233699.161958762	51901.0238141738	14704.4773754184	269888.292641601	1302.83573078264	NA	NA	406962.589943006	44	NA	NA	NA	NA	NA	23	NA
FT045	188.200563295725	188.200506983298	188.200708748697	302.714	302.266	303.575	3	3	0	1	NA	NA	2699.8326031376	NA	373819.213570315	853536.394285707	219303.76022001	1575914.616	45	148	[M+H-CO]+	2	57	215.188228789133	57	NA
FT046	188.201017916012	188.2009309314	188.201038118913	307.969	306.655	309.271	4	0	4	1	767366.532444081	619828.343884615	404048.540845703	736402.47812642	1801.5149153191	NA	NA	NA	46	140	[M+H]+	2	35	187.193646751996	42	NA
FT047	194.151402401918	194.150934162706	194.151486072552	540.54	540.53	540.556	6	2	4	1	583252.320672658	414747.470156251	294032.626017087	559739.633307423	306454.352242192	NA	NA	509431.417619326	47	61	[M+Na]+	2	33	171.162251540263	24	NA
FT048	199.168829952307	199.168619984651	199.16915400571	626.117	626.105	626.132	8	4	4	1	280672.096779487	326625.961903653	320290.135908204	319216.9491875	378042.249631944	339358.369243753	444211.49779262	468633.280448859	48	NA	NA	NA	NA	NA	41	NA
FT049	200.200461853106	200.200260960844	200.200775685818	604.1745	604.158	604.599	8	4	4	1	6534151.24469312	6293583.45593191	6366552.43796585	6213964.18876702	6718834.6861153	5947713.67996588	5623699.5661704	5774563.45094313	49	63	[M+H]+	2	68	199.193184575539	25	NA
FT050	201.203792696408	201.203593911632	201.204128740388	604.1745	604.158	604.599	8	4	4	1	815430.800573444	799587.074122171	803099.39443436	781128.114844812	805457.708111505	752380.679864343	713748.393281243	735264.54848863	50	NA	NA	NA	NA	NA	25	NA
FT051	202.216567174241	202.216070575395	202.216705537266	414.3975	409.338	416.781	6	2	4	1	1957398.85336817	306747.319929685	927299.548706619	1557546.60138523	2776.80027131113	2484355.63627137	NA	1806154.34213869	51	NA	NA	NA	NA	NA	52	NA
FT052	203.106384554874	203.106070955251	203.106605558071	530.894	530.873	531.329	4	2	2	1	472838.059319425	NA	NA	311396.523990227	12774.0204619476	396927.328039767	NA	242351.204308589	52	NA	NA	NA	NA	NA	41	NA
FT053	204.159160846921	204.159156985345	204.159164708497	213.6195	213.186	214.053	2	2	0	1	NA	NA	NA	NA	389385.697890624	25914.6442522226	6222.61058684672	230294.949855469	53	NA	NA	NA	NA	NA	75	NA
FT054	205.194560116356	205.194265688574	205.194693849647	616.464	616.448	616.899	4	2	2	1	NA	78270.3062292228	231855.036107427	660652.317531246	35578.6758661099	161548.540638245	263834.561304685	858865.742660507	54	19	[M+K]+	3	117;207	166.235185441554	12	NA
FT055	207.159131411832	207.158646199821	207.159266720872	370.7065	370.272	370.722	6	2	4	1	565282.09625977	361708.301921008	419311.306332741	662605.845112926	390208.206737498	NA	NA	436837.818679686	55	149	[M+H]+	2	79	206.151791235862	60	NA
FT056	213.14594890964	213.145518786475	213.146193983436	457.1725	457.158	457.59	8	4	4	1	612847.034539774	563606.160749995	791440.807961424	818237.877464318	791398.665129885	486223.066520186	422311.733958334	397320.371697915	56	NA	NA	NA	NA	NA	68	NA
FT057	216.195518620268	216.195443962885	216.195947555298	302.714	302.266	306.216	3	2	1	1	NA	NA	NA	282969.129217883	53682.0604056514	349557.306273435	63952.5292075352	533268.398396872	57	148	[M+H]+	2	45	215.188228789133	57	NA
FT058	216.232019787201	216.231675767852	216.232349255178	406.709	404.513	411.079	4	2	2	1	422826.940639971	NA	NA	426055.164366473	48008.6063925781	622080.362548299	8886.24065722656	1017422.00969791	58	30	[M+K]+	2	106	177.261933833779	15	NA
FT059	217.194807196886	217.194499728925	217.194861148678	599.776	599.772	599.796	3	1	2	1	9411.58848772325	327895.258786025	334699.911819447	548103.503937921	20304.1508141742	NA	308225.290784286	NA	59	37	[M+K]+	2	240	178.223785109167	18	NA
FT060	218.21101663608	218.210961402757	218.211186813114	298.976	298.756	300.062	4	4	0	1	NA	NA	NA	NA	538866.337770596	36093289.0158449	2788759.33182343	26260506.42875	60	NA	NA	NA	NA	NA	4	NA
FT061	218.211506535538	218.211455223057	218.211603645263	304.021	303.152	304.883	4	0	4	1	27117345.0772235	1007148.36303196	6669818.75515911	21149617.359228	2091.01469002017	NA	NA	NA	61	NA	NA	NA	NA	NA	8	NA
FT062	219.1740007065	219.173705594166	219.174372124825	584.639	584.411	584.873	8	4	4	1	1112049.50191621	1007294.2494034	1158589.26547158	1137800.76852272	1201073.33421681	1255193.40214285	943488.109329537	749496.393757799	62	NA	NA	NA	NA	NA	41	NA
FT063	219.210343703398	219.209944987758	219.210538040593	623.027	619.519	623.487	13	4	4	1	453667.404459367	857712.984935141	940152.609496882	1184998.66164845	459224.31203086	859666.024600007	1535508.52043976	1193285.62224303	63	NA	NA	NA	NA	NA	41	NA
FT064	219.214309258476	219.214297082363	219.214382390485	299.188	298.756	299.206	3	3	0	1	NA	NA	NA	NA	11880.4080891741	4655006.49123537	316529.519666501	3347661.79389845	64	NA	NA	NA	NA	NA	4	NA
FT065	219.214786167902	219.214771081969	219.214848904366	303.596	303.152	304.883	3	0	3	1	3512595.26618689	62883.6192012295	1034320.34545182	2773648.22151194	2272.6809397978	2221.1467032399	NA	NA	65	NA	NA	NA	NA	NA	8	NA
FT066	221.116964360246	221.116562728912	221.117153603083	540.1	540.088	540.114	8	4	4	1	892902.512595697	932306.251033389	783657.432093742	706818.883683604	718297.409471349	561226.270290032	461327.890662897	441350.020473822	66	62	[M+H-C4H8]+	3	182;262	276.172418111599	24	NA
FT067	221.116984019557	221.116541763139	221.11712570119	560.7295	560.715	561.151	6	2	4	1	269981.793764754	318329.868680118	288293.617451565	332361.321419532	293258.445073241	21696.284665911	24474.1574581473	234896.663891601	67	86	[M+Na]+	2	462	198.123170535194	36	NA
FT068	222.182400659188	222.182185104079	222.182729634618	604.1745	604.158	604.619	8	4	4	1	1029445.26767897	940693.331096604	823562.75701561	688279.47996271	699722.70812188	553185.105645949	481876.895981251	465760.152420136	68	63	[M+Na]+	2	49	199.193184575539	25	NA
FT069	223.063401115322	223.063029516115	223.063702331768	504.117	504.105	504.131	8	4	4	1	586774.684851565	640035.082801491	538602.614460935	457888.085205075	452864.268526985	310847.295290798	319149.629055469	337659.657308416	69	NA	NA	NA	NA	NA	41	NA
FT070	223.063169005528	223.063012735543	223.063557448887	573.884	573.877	573.903	7	4	3	1	284081.212965824	340068.473317706	300109.191145828	1901.38940609305	304352.452185159	220450.483941411	196595.796	218550.476143973	70	56	[M+K]+	2	402	184.106209197106	23	NA
FT071	223.205075062625	223.204797964599	223.205217206236	616.4535	616.036	616.899	4	2	2	1	NA	60573.4277438965	247394.970688971	704336.71892838	25978.9356399599	166988.206994751	295344.680545407	870755.237867893	71	NA	NA	NA	NA	NA	12	NA
FT072	226.179847072194	226.179511042327	226.180154418661	490.0825	490.066	490.506	8	4	4	1	1099614.77941472	1159133.16054199	1217193.34335901	1241123.88295898	659300.16946875	674423.832221593	820985.243471583	801427.481449219	72	144	[M+H-H2O]+	3	97;154	243.183931657336	44	NA
FT073	227.125242938317	227.124626036148	227.125497651765	428.424	428.195	428.648	8	4	4	1	897346.60248077	913741.179855464	1069950.64682571	1223761.70557129	1268639.82021635	730754.526120193	630019.191661783	626743.357437502	73	NA	NA	NA	NA	NA	61	NA
FT074	228.195018667583	228.194867011979	228.195349196139	698.945	698.939	698.964	7	4	3	1	620609.97807276	629361.562008239	19409.5554887694	511887.208485234	1229917.28680782	742109.056488724	1019564.85376065	334543.586794432	74	112	[M+H]+	4	75;112;155	227.192015136659	41	NA
FT075	228.195315738602	228.194873195481	228.19549780177	703.783	703.766	703.792	6	2	4	1	1474360.90292423	1310036.95177263	841148.811006501	962092.153038178	NA	1022276.18819649	NA	486645.542686624	75	112	[M+H]+	4	74;112;155	227.192015136659	41	NA
FT076	228.195518216684	228.195202464353	228.195896210291	493.1465	492.698	493.161	8	4	4	1	1865896.07308265	1479091.74714843	1095301.32	1195315.17592068	1377434.52133985	881157.989921874	1065058.42174739	671299.130858075	76	145	[M+H-CH4]+	2	209	243.23355289064	49	NA
FT077	228.231615338274	228.231565010578	228.23166566597	649.358	649.357	649.359	2	2	0	1	1487.65225662938	NA	12621.1397255861	32109.9898520513	200662.931520512	158936.655979983	199635.81150893	20453.4191601566	77	113	[M+H]+	4	757;250;251	227.225746953116	41	NA
FT078	229.121889757005	229.121790102927	229.121989411082	674.8055	674.804	674.807	2	0	2	1	697855.269595318	774596.831903131	NA	NA	NA	NA	NA	NA	78	39	[3M+3K-H]2+	3	7	114.113894265674	19	NA
FT079	229.140912971907	229.140478163964	229.141195241977	370.499	370.272	370.722	8	4	4	1	628734.923349614	377551.757404118	604000.88500142	1022740.38120118	646428.659669273	399237.826281248	398519.033969185	792575.819984372	79	149	[M+Na]+	2	55	206.151791235862	60	NA
FT080	229.198327932306	229.198272535773	229.198804962124	703.77	703.766	703.773	3	2	1	1	154700.739765622	2825.62419009768	1103.79365956056	1649.58584064454	178808.774468755	114761.437983829	166845.691145183	41033.0323697269	80	NA	NA	NA	NA	NA	41	NA
FT081	230.247864122539	230.247769438166	230.247929653819	481.316	480.426	482.603	3	0	3	1	2619193.67593881	93910.7439724121	535216.167000001	2389959.66232227	NA	NA	1135.96440942383	NA	81	146	[M+H-COCH2]+	2	166	271.250791690036	54	NA
FT082	230.247257288257	230.247168608476	230.247345968037	475.8225	475.599	476.046	2	2	0	1	NA	NA	NA	NA	34231.7508543128	2153698.79962272	166179.245891732	1456256.14022978	82	NA	NA	NA	NA	NA	51	NA
FT083	232.190789581517	232.190246146468	232.190815594857	325.527	322.452	325.972	3	1	2	1	94393.8490713706	167732.622893881	514228.558422992	365826.970917969	4225.60657389324	NA	2506.62769010417	496528.959546871	83	NA	NA	NA	NA	NA	73	NA
FT084	233.189457106501	233.189328193326	233.189800819256	586.613	586.18	586.622	3	2	1	1	1533.81716455079	NA	4362.75135058596	506364.699630686	38070.1742119142	80684.5975800785	243994.237690429	510102.051606894	84	NA	NA	NA	NA	NA	41	NA
FT085	233.225754461844	233.225317134716	233.226048321428	651.3435	651.125	651.564	4	2	2	1	NA	1619.19485445295	221609.432372557	692387.984431237	16070.3336805943	77307.4791594149	204074.726912596	641482.057670317	85	NA	NA	NA	NA	NA	10	NA
FT086	234.206447323405	234.205921536479	234.206567822619	336.933	332.984	338.675	5	2	3	1	2731018.53672267	40614.7066540135	488321.846223964	2867894.05185061	NA	3661283.97731676	1440.84976294734	3637852.08591796	86	NA	NA	NA	NA	NA	45	NA
FT087	235.168771905852	235.168515358284	235.169133833556	574.7715	574.754	575.218	8	4	4	1	9767096.71284801	9527512.92174716	8710174.38386927	8226488.85542045	8593517.4728821	7801880.23402412	6519158.86577557	5683575.80406529	87	59	[M+H]+	2	136	234.161579389672	23	NA
FT088	235.168665986748	235.168605221387	235.168726752109	531.113	530.89	531.336	2	2	0	1	NA	NA	NA	NA	13113.7246674107	306491.503524996	80524.2820776366	220387.054064451	88	NA	NA	NA	NA	NA	41	NA
FT089	235.205195556233	235.204942974931	235.20551428129	599.7815	599.769	599.796	8	4	4	1	704842.584673942	1040726.412798	733325.137950006	1282273.50426243	534667.752165615	657614.609334377	700426.61188438	697789.513401995	89	NA	NA	NA	NA	NA	18	NA
FT090	235.205230184565	235.204880312128	235.205400665385	570.827	570.812	571.264	4	2	2	1	NA	19888.9839793179	232795.130618491	471682.214136714	26755.8905209962	61528.2552961428	237170.852666018	454863.455864573	90	NA	NA	NA	NA	NA	41	NA
FT091	235.209283270818	235.209250078411	235.209316463226	333.211	332.984	333.438	2	2	0	1	NA	1336.69940706511	NA	NA	NA	478569.845435092	1478.7518162133	434865.194503551	91	NA	NA	NA	NA	NA	74	NA
FT092	236.172098644718	236.171848133441	236.172461193917	574.7755	574.754	575.2	8	4	4	1	1480182.14920899	1562345.20287784	1365463.13468181	1307460.64113281	1369609.58430149	1156886.62032741	1044105.38016658	925270.830218096	92	NA	NA	NA	NA	NA	23	NA
FT093	237.184566683821	237.18421260629	237.184851888573	551.512	551.5	551.526	8	4	4	1	912939.222510921	959963.578542627	878041.958621105	810229.809988648	831187.328812491	738334.445405271	512792.207284086	513307.205289968	93	NA	NA	NA	NA	NA	41	NA
FT094	237.220870712744	237.220473654013	237.221089617253	623.025	619.516	623.487	15	4	4	1	828892.946318756	1581905.11366247	1792671.10592017	2181414.75911461	1140000.99628504	1632408.52198439	1982317.71724377	2259482.96369092	94	NA	NA	NA	NA	NA	41	NA
FT095	238.223838236981	238.223757328392	238.224263342516	623.049	619.534	623.48	7	3	3	1	NA	209195.033212052	269013.486624137	267961.210150664	142699.821908909	289108.678167187	302513.210177955	375745.600958325	95	NA	NA	NA	NA	NA	41	NA
FT096	243.087497757342	243.087125618619	243.087830977656	375.98	375.535	375.999	8	4	4	1	590362.663323564	606717.005701498	558142.374088543	452221.733873935	636070.98449674	441792.947620737	443121.444675778	368399.303106252	96	NA	NA	NA	NA	NA	70	NA
FT097	244.190413752688	244.190036400246	244.190766569151	490.0825	490.066	490.506	8	4	4	1	620439.303042615	691541.430556639	711218.872856353	726165.8867919	375091.867267186	373107.75764844	428499.28141406	404209.383319444	97	144	[M+H]+	3	154;72	243.183931657336	44	NA
FT098	244.190034341584	244.189815226985	244.190413354563	703.7715	703.766	703.79	6	3	3	1	264323.987010413	293344.994427458	54251.8159716794	201816.551911268	363171.003542975	213455.530285714	345970.017554684	9334.93167311444	98	NA	NA	NA	NA	NA	41	NA
FT099	244.263010387955	244.262874475487	244.263326127535	472.538	471.65	476.918	3	2	1	1	NA	NA	NA	1029138.12774219	9705.85717461996	1864716.06031468	15986.0054120566	1606679.23422043	99	NA	NA	NA	NA	NA	58	NA
FT100	244.263481190316	244.263472469914	244.263489910718	478.2295	477.364	479.095	2	0	2	1	1147588.08226563	98808.4626826691	449852.78095419	554113.281273621	2196.94839345112	NA	NA	NA	100	NA	NA	NA	NA	NA	66	NA
FT101	245.078220236614	245.07781108693	245.078490785036	466.384	466.367	466.808	8	4	4	1	924180.349488284	934816.724518466	879923.312823085	923507.484714844	997185.73497236	523393.756816408	442063.509218426	429367.838040041	101	NA	NA	NA	NA	NA	9	NA
FT102	245.114571561171	245.114143288667	245.114830681867	537.9	537.473	537.921	8	4	4	1	1533219.11428123	1456032.05243361	1428143.08587502	1267565.57871128	1337461.18481444	1072562.9220078	1005172.2687578	948396.946335036	102	130	[M+2H-CO]2+	9	758;759;139;788;782;599;434	516.225994542125	41	NA
FT103	245.225883462172	245.22547846272	245.226160570319	639.7205	639.699	640.162	8	4	4	1	633673.159157817	1013075.26969376	1245379.73600262	1613017.27270614	656361.878798443	1201225.88798071	1361103.83402345	1581510.75377603	103	NA	NA	NA	NA	NA	20	NA
FT104	245.22576065702	245.225502362478	245.225877175262	615.581	615.571	615.582	3	2	1	1	NA	2584.19246105537	3774.01398804554	473386.862385939	12854.9306604594	41724.3779306726	250718.794581594	470088.474023439	104	21	[M+H-COCH2]+	6	227;301;382;494;560	286.216596435956	12	NA
FT105	246.242252353212	246.242212674295	246.24229070169	401	400.99	401.448	3	3	0	1	NA	NA	NA	NA	9969.6971859375	9479870.70050362	945204.232087502	10094558.2071666	105	NA	NA	NA	NA	NA	26	NA
FT106	246.242765926935	246.24256480256	246.242847017693	406.276	405.388	407.566	3	0	3	1	15460026.1526406	207137.574792252	1515312.14961328	18914140.2033391	4362.65159271241	NA	NA	NA	106	30	[M+Na+HCOOH]+	2	58	177.261933833779	15	NA
FT107	247.241405701216	247.241067657784	247.241644344804	656.833	656.819	656.843	7	4	3	1	NA	871967.659187507	1015757.28021797	1375982.8241758	146509.085954685	669735.038989068	856501.134616403	1154831.79968751	107	NA	NA	NA	NA	NA	22	NA
FT108	247.245707646533	247.245458848487	247.246036016317	403.199	401	407.566	4	2	2	1	2217636.64687499	4428.81529453127	NA	2299792.99104404	NA	1431024.40090909	20360.7897117188	1505530.99642707	108	NA	NA	NA	NA	NA	50	NA
FT109	249.18217165466	249.182161180093	249.182182129227	566.426	566.419	566.433	2	0	2	1	154911.839146232	182573.769630211	92543.4560257295	227359.813714286	NA	NA	NA	NA	109	NA	NA	NA	NA	NA	16	NA
FT110	249.184394626072	249.184137135261	249.184894241621	581.343	576.088	581.793	9	4	4	1	586925.585731255	644715.785058269	525918.201168412	539868.584175428	519972.704925431	485077.206650923	445534.736337358	394935.731665618	110	NA	NA	NA	NA	NA	41	NA
